Frequency (A),Statistical unit (ASS_CENT),Sex (_Z),Unit of measure (NUMBER),Time period (2022),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Assessment Centres,Not Applicable,Number,2022,32717,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Assessment Centres,Not Applicable,Number,2023,32638,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Assessment Centres,Not Applicable,Number,2024,32537,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Assessment Centres,Not Applicable,Number,2025,24367,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Male,Number,2022,643033,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Male,Number,2023,658028,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Male,Number,2024,676956,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Male,Number,2025,663673,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Female,Number,2022,600184,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Female,Number,2023,623619,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Female,Number,2024,637134,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Female,Number,2025,633637,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Total,Number,2022,1243217,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Total,Number,2023,1281647,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Total,Number,2024,1314090,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Registered Grade 6 KPSEA Learners,Total,Number,2025,1297310,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Male,Number,2022,611793,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Male,Number,2023,637890,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Male,Number,2024,676166,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Male,Number,2025,646610,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Female,Number,2022,574148,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Female,Number,2023,607111,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Female,Number,2024,636534,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Female,Number,2025,619911,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Total,Number,2022,1185941,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Total,Number,2023,1245001,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Total,Number,2024,1312700,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Learners who sat for Grade 6 KPSEA,Total,Number,2025,1266521,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
