Frequency (A),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Total,Male,Number,2015,1348.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2016,1396.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2017,1450.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2018,1505.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2019,1626.1,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2020,1751.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2021,1822.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2022,1924.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2023,2024.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2024,2149.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Male,Number,2025,1646.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2015,1210.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2016,1323.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2017,1380,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2018,1437.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2019,1634,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2020,1768.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2021,1869.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2022,1995.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2023,2084.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2024,2171.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Female,Number,2025,1691.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total,Total,Number,2015,2559,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Total,Number,2016,2720.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Total,Number,2017,2830.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Total,Number,2018,2942.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Total,Total,Number,2019,3260,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
