Frequency,Statistical unit,Unit of measure,Breakdown group identifier,Time period,Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Exceeding Expectation (%),%,English Language,2022,12.47,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,English Language,2023,19.46,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,English Language,2024,14.21,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,English Language,2025,26.96,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kiswahili Lugha,2022,8.84,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kiswahili Lugha,2023,10.94,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kiswahili Lugha,2024,9.36,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kiswahili Lugha,2025,19.3,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Mathematics,2022,4.28,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Mathematics,2023,10.41,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Mathematics,2024,5.38,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Mathematics,2025,13.36,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Science,2022,14.73,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Science,2023,10.95,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Science,2024,3.34,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Science,2025,11.29,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Social Studies,2022,11.3,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Social Studies,2023,15.76,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Social Studies,2024,6.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Social Studies,2025,3.56,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kenyan Sign Language,2022,0.19,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kenyan Sign Language,2023,2.18,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kenyan Sign Language,2024,3.54,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Kenyan Sign Language,2025,0.99,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Agriculture,2022,19.03,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Agriculture,2023,11.58,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Agriculture,2024,7.21,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Agriculture,2025,11.6,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Nutrition,2022,15.15,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Nutrition,2023,9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Nutrition,2024,5.16,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Nutrition,2025,10.66,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Physical and Health Education,2022,9.74,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Physical and Health Education,2023,15.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Physical and Health Education,2024,6.51,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Physical and Health Education,2025,11.3,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Art and Craft,2022,5.87,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Art and Craft,2023,16.56,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Art and Craft,2024,2.03,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Art and Craft,2025,12.41,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Music,2022,9.11,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Music,2023,10.1,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Music,2024,2.81,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Music,2025,5.76,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Christian Religious Education,2022,33.63,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Christian Religious Education,2023,27.87,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Christian Religious Education,2024,20.36,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Christian Religious Education,2025,23.33,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Islamic Religios Education,2022,41.17,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Islamic Religios Education,2023,21.34,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Islamic Religios Education,2024,30.49,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Islamic Religios Education,2025,37.91,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Hindu Religious Education,2022,0,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Hindu Religious Education,2023,3.03,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Hindu Religious Education,2024,7.14,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Exceeding Expectation (%),%,Hindu Religious Education,2025,25,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,English Language,2022,47.7,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,English Language,2023,41.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,English Language,2024,29.03,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,English Language,2025,25.14,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kiswahili Lugha,2022,67.29,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kiswahili Lugha,2023,56.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kiswahili Lugha,2024,35.46,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kiswahili Lugha,2025,32.42,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Mathematics,2022,40.45,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Mathematics,2023,37.72,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Mathematics,2024,18.1,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Mathematics,2025,22.39,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Science,2022,52.27,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Science,2023,38.14,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Science,2024,21.65,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Science,2025,25.73,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Social Studies,2022,58.4,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Social Studies,2023,47.04,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Social Studies,2024,31.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Social Studies,2025,16.54,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kenyan Sign Language,2022,32.58,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kenyan Sign Language,2023,20.61,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kenyan Sign Language,2024,11.19,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Kenyan Sign Language,2025,14.99,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Agriculture,2022,61.92,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Agriculture,2023,38.06,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Agriculture,2024,29.9,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Agriculture,2025,29.66,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Nutrition,2022,36.96,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Nutrition,2023,38.68,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Nutrition,2024,25.87,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Nutrition,2025,26.2,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Physical and Health Education,2022,44.37,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Physical and Health Education,2023,42.49,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Physical and Health Education,2024,24.99,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Physical and Health Education,2025,25.87,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Art and Craft,2022,38.71,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Art and Craft,2023,45.42,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Art and Craft,2024,21.83,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Art and Craft,2025,21.98,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Music,2022,61.74,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Music,2023,38.05,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Music,2024,27.77,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Music,2025,24.5,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Christian Religious Education,2022,48.52,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Christian Religious Education,2023,39.01,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Christian Religious Education,2024,30.16,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Christian Religious Education,2025,27.08,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Islamic Religios Education,2022,43.89,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Islamic Religios Education,2023,36.88,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Islamic Religios Education,2024,20.16,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Islamic Religios Education,2025,18.99,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Hindu Religious Education,2022,81.82,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Hindu Religious Education,2023,39.39,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Hindu Religious Education,2024,35.71,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Meeting Expectation (%),%,Hindu Religious Education,2025,41.67,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,English Language,2022,35.88,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,English Language,2023,32.12,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,English Language,2024,41.56,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,English Language,2025,42.31,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Kiswahili Lugha,2022,20.56,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Kiswahili Lugha,2023,26.17,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Kiswahili Lugha,2024,40.36,,,,,,,,,,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Kiswahili Lugha,2025,44.31,,,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Approaching Expectation (%),%,Mathematics,2022,47.29,,,,,,,,,,Kenya National Bureau of Statistics
