Frequency (A),Education level (_T),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Total or no breakdown by education level,Total,Male,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2020,5191.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2021,5243.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2022,5248.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2023,5277.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2024,5499,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2025,6090,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2020,4978.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2021,5041.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2022,5116,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2023,5119.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2024,5234.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2025,5845,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
