Subject,KR-20 Reliability Coefficient,ALL,,,GIRLS,,,BOYS,,
,,Sat,Mean,SD,Sat,Mean,SD,Sat,Mean,SD
English Language,0.82,1239712,21.38,9.1,604698,21.98,8.96,634988,20.81,9.19
Kiswahili Lugha,0.84,1238020,21.06,7.67,603907,21.66,7.42,634087,20.49,7.87
Kenyan Sign Language,0.81,825,13.33,5.76,413,13.3,5.83,412,13.36,5.69
Mathematics,0.8,1237966,18.51,8.43,603851,18.57,8.24,634084,18.46,8.61
Science and Technology,0.83,1231715,8.65,4.31,600689,8.57,4.23,630998,8.72,4.39
Agriculture,0.78,1230571,5.69,2.85,600197,5.74,2.82,630348,5.65,2.87
Home Science,0.83,1230645,5.61,2.87,600215,5.81,2.88,630404,5.43,2.85
Physical and Health Education,0.8,1232951,9.55,4.51,601323,9.62,4.42,631602,9.48,4.59
Social Studies,0.84,1231814,10.37,4.57,600740,10.49,4.47,631046,10.25,4.66
Art and Craft,0.8,1230046,7.86,3.57,599893,8.1,3.55,630126,7.64,3.58
Music,0.82,1229934,6.42,3.2,599818,6.53,3.11,630089,6.32,3.29
Christian Religious Education,0.81,1145657,12.46,5.56,560924,12.94,5.5,584733,11.99,5.59
Islamic Religious Education,0.79,75020,11.13,5.34,34585,11.03,5.28,40435,11.22,5.38
Hindu Religious Education,0.8,33,7.89,4.06,25,6.42,3.18,8,12.48,3
